Chemical,Product Name,Company,Location,Price,Phone
Sodium Benzoate,"Powder Sodium Benzoate Preservative E211, 25 kg",All India Drug Supply Co.,,₹ 95/Kg,08046031970
Sodium Benzoate,"Sodium Benzoate, kg",A B Enterprises,,"₹ 10,000",08048600039
Sodium Benzoate,"SODIUM BENZOATE, Standard",Krupa Chemicals,,₹ 165/Kg,07942545897
Sodium Benzoate,"Food Preservative Sodium Benzoate, 1.497 G/cm3",AJ Corporation,,₹ 105/Kg,08048987801
Sodium Benzoate,"Food Grade Sodium Benzoate, 25 kg",Annexe Chem Pvt.Ltd.,,₹ 132/Kg,08048955725
Sodium Benzoate,"Sodium Benzoate Powder, 25 kg",N. D. Bio Tech Private Limited,,₹ 95/Kg,08048954101
Sodium Benzoate,"Powder Sodium Benzoate Food Grade, 25 kg",Uma Enterprises,,₹ 130/Kilogram,08048953253
Sodium Benzoate,"Sodium Benzoate Powder, 50 kg",Hemadri Chemicals,,₹ 141.25/Kg,08047646492
Sodium Benzoate,"Powder Sodium Benzoate, Packaging Type: PP Bag, Packaging Size: 25-50 kg",Antares Chem Private Limited,,₹ 85/Kilogram,08048957399
Calcium Carbonate,"Indian Natural Calcium Carbonate, Industrial Grade, 50 kg",Chemi Enterprises LLP,,₹ 15/Kg,08048951645
Calcium Carbonate,"White Coated Vietnam Calcium Carbonate, For Flooring, Powder",Sarthak International,,₹ 17/Kg,08047646360
Calcium Carbonate,"Natural Calcium Carbonate, Packaging Size: 50 kg, Packaging Type: Plastic Bag",Indian Minerals & Metals Corporation,,₹ 6/Kg,07942560719
Calcium Carbonate,Precipitated Calcium Carbonate,Royalty Minerals,,Not listed,08048601945
Calcium Carbonate,"Precipitated Calcium Carbonate, Bag, Powder",Kalpna Minerals Private Limited,,Not listed,08048963394
Calcium Carbonate,"Natural Calcium Carbonate, 40 kg, Technical Grade",Bhagvati Minerals,,Not listed,07942555290
Calcium Carbonate,Calcium Carbonate 98%,ALPHA CHEMIKA,,₹ 243/1 KG,08048602756
Calcium Carbonate,"Ground Calcium Carbonate, Industrial Grade",Acme Chemicals,,₹ 12/Kg,08048951588
Calcium Carbonate,"Venzai Chemical Oyster Shell Calcium Carbonate, 98%, Packaging Type: HDPE Bag",Vinzai Chemical Industries Private Limited,,Not listed,08048968747
Calcium Carbonate,Calcium Carbonate,Vardhman Enterprise,,₹ 12/Kg,08048950769
Potassium Sorbate,"25 kg Potassium Sorbate Flakes, For Food Industry, Packaging Type: Box",Paramount Chemical & Acid Corporation,,₹ 270/Kg,08048989395
Potassium Sorbate,"Potassium Sorbate Food Grade, 25 kg",Arham Intermediates,,₹ 260/Kg,08047644206
Potassium Sorbate,"Potassium Sorbate E202, 25 KG Hdpe, For Bakery",All India Drug Supply Co.,,₹ 270/Kg,08046031970
Potassium Sorbate,"Potassium Sorbate Granules, 25 kg, Packaging Type: Box",Ratanchand & Co.,,₹ 245/Kg,08045206328
Potassium Sorbate,"Granules Potassium Sorbate, For Industrial, Packaging Size: 5-25 kg",Antares Chem Private Limited,,₹ 295/Kilogram,08048957399
Potassium Sorbate,Potassium Sorbate,AJ Corporation,,₹ 295/Kilogram,08048987801
Potassium Sorbate,Form: Powder Sodium Benzoate Potassium Sorbate,Indian Platinum Pvt. Ltd.,,"₹ 1,200/Kilogram",08048615427
Potassium Sorbate,"Potassium Sorbate, For Industrial, Packaging Type: Bag, kg",Agarwal Bulkactives Private Limited,,₹ 550/Kg,07942540488
Potassium Sorbate,"Potassium Sorbate Granule, Packaging Type: Bag, Packaging Size: 25 Kg",Ariheet Pharmachem LLP,,₹ 350/Kg,08048951948
Potassium Sorbate,25 Kg Potassium Sorbate Powder,Rising Ingredients,,₹ 290/Kg,08045206913
Turmeric Extract,"Curcumin Turmeric Extract, Powder",Rashi Pharma Care Private Limited,,₹ 950/Kg,08044015553
Turmeric Extract,"Liquid Curcumin oil / Turmerone powder, Packaging Type: Container, Packaging Size: 25 kg",Harshiv Precision Technology,,₹ 250/Kg,08046044961
Turmeric Extract,"SV Agrofood Powder Natural Turmeric Extract, Packaging Type: Drum, Packaging Size: 25 Kg",SV Agrofood,,"₹ 2,400/Kilogram",08048950763
Turmeric Extract,"Turmeric Curcumin Tablets.1 Kg, Pouch",Gaurav Marketing,,₹ 725/Pack,08046050073
Turmeric Extract,"Turmeric Extract Curcumin 95%, Powder, kg",Global Merchants,,"₹ 7,000/Kg",08046048299
Turmeric Extract,"Powder Curcumin Turmeric Extract, Packaging Type: HDPE Drum, Packaging Size: 25 kg",Herbo Nutra Extract Private Limited,,"₹ 4,499/Kg",08047782826
Turmeric Extract,"TURMERIC / HALDI (CURCUMA LONGA) DRY EXTRACT - 20% TOTAL CURCUMIN BY HPLC, kg",JK Botanicals Private Limited,,"₹ 3,095/Kg",07942545792
Turmeric Extract,"Cosmetics Curcuma Longa Linn Turmeric Liquid Extract, Packaging Type: bottles, Packaging Size: 100ml",Soapaloop,,₹ 800/Kg,08043894834
Turmeric Extract,"Cinnamon Dry Extract, 1 Kg",Patco Exports Private Limited,,"₹ 1,300/Pack",08046059981
Turmeric Extract,Curcumin Extract Powder,B K Acid & Chemical Co,,"₹ 6,250/Kg",08044950294
